"rotten_tomatoes_link","critic_name","top_critic","publisher_name","review_type","review_score","review_date","review_content","letter_grade","numeric_score","binary_score_numeric","normalized_score"
"m/1000253-adams_rib","","False","Film Threat","Fresh","4/5","2002-12-08","",NA,8,1,0.877255681632622
"m/1000253-adams_rib","","False","Film4","Fresh","","2007-10-16","An impeccably crafted and scripted classic.",NA,NA,1,NA
"m/1000253-adams_rib","","False","TV Guide","Fresh","3.5/4","2007-10-16","Delightful, sophisticated comedy sparked by the famous chemistry between Katharine Hepburn and Spencer Tracy.",NA,8.75,1,1.20182129500406
"m/1000253-adams_rib","","True","Chicago Reader","Fresh","","2007-10-16","The film is a classic, and deservedly so: the conjunction of Tracy's sly listlessness and Hepburn's stridency defines 'chemistry' in the movies.",NA,NA,1,NA
"m/10002673-prowler","","False","TV Guide","Fresh","3/4","2010-03-16","A scary, fascinating film.",NA,7.5,1,0.660878606051666
"m/10003276-criminal","","False","Baltimore Sun","Fresh","3/4","2004-09-10","",NA,7.5,1,0.660878606051666
"m/10003276-criminal","","False","E! Online","Rotten","","2004-09-10","Reilly plays it so dour and unappealing, and Gyllenhaal comes off like such a sourpuss it's hard to garner a rooting interest one way or another.","C+",4,0,-0.853760923015028
"m/10003276-criminal","","False","Film Threat","Rotten","2.5/5","2005-12-06","",NA,5,0,-0.421006771853116
"m/10003276-criminal","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/1000334-adventures_of_mark_twain","","False","TV Guide","Fresh","3/5","2019-03-03","This is an imaginative work.",NA,6,1,0.0117473793087968
"m/10003437-deep_blue","","False","Sunday Times (Australia)","Fresh","3.5/5","2004-12-20","",NA,7,1,0.444501530470709
"m/10003437-deep_blue","","False","Baltimore Sun","Fresh","4/4","2005-07-29","",NA,10,1,1.74276398395645
"m/1000355-adventures_of_robin_hood","","False","TV Guide","Fresh","5/5","2000-01-01","This is one of the truly great adventure films of all time, and features a terrific performance by the perfectly cast Flynn.",NA,10,1,1.74276398395645
"m/1000355-adventures_of_robin_hood","","False","Boxoffice Magazine","Fresh","","2002-06-05","In every department, the offer is flawless and under all conditions cannot miss skyrocketing to tremendous grosses.",NA,NA,1,NA
"m/1000355-adventures_of_robin_hood","","True","Time Out","Fresh","","2006-02-09","One of the few great adventure movies that you can pretend you are treating the kids to when you are really treating yourself.",NA,NA,1,NA
"m/1000355-adventures_of_robin_hood","","False","Empire Magazine","Fresh","5/5","2007-10-16","Errol Flynn buckles his swashes in this classic historical adventure.",NA,10,1,1.74276398395645
"m/1000355-adventures_of_robin_hood","","True","TIME Magazine","Fresh","","2009-04-24","If prankish Fairbanks was a man's Robin Hood, handsome, romantic Flynn performs for everybody else.",NA,NA,1,NA
"m/10003876-man_hunt","","False","TV Guide","Fresh","4.5/5","2004-03-17","",NA,9,1,1.31000983279453
"m/10003925-dead_end","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/10004209-tristan_and_isolde","","False","TV Guide","Rotten","2.5/4","2006-01-13","Director Kevin Reynolds isn't so much inspired as determined to tell it with period accuracy, without bothering to be historically accurate.",NA,6.25,0,0.119935917099275
"m/10004209-tristan_and_isolde","","False","Film Threat","Rotten","1.5/5","2007-01-06","",NA,3,0,-1.28651507417694
"m/10004226-wild_side","","False","E! Online","Rotten","","2005-06-24","Several storylines are hinted at but never fully developed, and some draggy scenes dampen the whole Wild affair.","C+",4,0,-0.853760923015028
"m/10004226-wild_side","","False","Empire Magazine","Fresh","3/5","2006-04-01","",NA,6,1,0.0117473793087968
"m/10004288-running_scared","","True","Dallas Morning News","Fresh","","2006-03-11","","B-",5,1,-0.421006771853116
"m/10004288-running_scared","","False","Bullz-Eye.com","Fresh","3/5","2006-03-11","",NA,6,1,0.0117473793087968
"m/10004504-ultraviolet","","False","Bullz-Eye.com","Rotten","1/5","2006-03-25","",NA,2,0,-1.71926922533885
"m/10004504-ultraviolet","","False","Hartford Courant","Rotten","1/5","2006-03-25","",NA,2,0,-1.71926922533885
"m/10004635-home_of_the_brave","","False","Film Threat","Fresh","3/5","2005-12-06","",NA,6,1,0.0117473793087968
"m/10004659-arthur","","False","Baltimore Sun","Rotten","","2007-01-13","","C",3,0,-1.28651507417694
"m/10004659-arthur","","False","Bullz-Eye.com","Fresh","3/5","2007-01-13","",NA,6,1,0.0117473793087968
"m/10004684-malevolence","","False","Film Threat","Fresh","3/5","2005-03-29","",NA,6,1,0.0117473793087968
"m/10004684-malevolence","","False","Film Threat","Fresh","3/5","2006-01-09","",NA,6,1,0.0117473793087968
"m/10004697-eternal","","False","E! Online","Rotten","","2005-09-02","It was cooler when it was called Basic Instinct.","D",1,0,-2.15202337650077
"m/10004697-eternal","","False","Film Threat","Fresh","3.5/5","2005-12-06","",NA,7,1,0.444501530470709
"m/10004835-farewell_to_arms","","True","Time Out","Rotten","","2006-01-26","A padded Ben Hecht script and Selznick's invariable tendency to overkill are equally to blame.",NA,NA,0,NA
"m/10004835-farewell_to_arms","","True","TIME Magazine","Rotten","","2013-01-23","What Hemingway wrote as an interlude of amorous flutes and distant drums, Producer David 0. Selznick has scored for brass.",NA,NA,0,NA
"m/10004835-farewell_to_arms","","False","TV Guide","Rotten","2.5/4","2013-01-23","An overblown Hollywood extravaganza that was universally condemned when first released and hasn't improved with age.",NA,6.25,0,0.119935917099275
"m/10004925-matador","","False","Premiere Magazine","Fresh","3.5/4","2005-12-27","A testament to the relatively unknown Shepard's imagination and smarts.",NA,8.75,1,1.20182129500406
"m/10004925-matador","","False","Bullz-Eye.com","Fresh","4/5","2006-02-04","",NA,8,1,0.877255681632622
"m/10004925-matador","","False","Empire Magazine","Fresh","4/5","2006-04-01","",NA,8,1,0.877255681632622
"m/10005057-smile","","False","E! Online","Rotten","","2005-04-22","Despite terrific China locales and some capable castmembers (notably Wang), the flick gets bogged down by Jeffrey Kramer's strained scriptwriting and unrestrained direction.","C-",2,0,-1.71926922533885
"m/10005104-intruder","","False","L.A. Weekly","Fresh","","2006-03-16","Denis' film -- which may be her most intricately constructed and intensely beautiful to date -- is one that transcends words and stories, a movie to be felt rather than rationalized.",NA,NA,1,NA
"m/10005104-intruder","","False","Empire Magazine","Fresh","3/5","2006-04-01","This is self-consciously intricate, but even if the storyline occasionally confuses, it's impossible not to admire Agnès Godard's glorious photography and the atmospheric soundtrack.",NA,6,1,0.0117473793087968
"m/10005178-saint_ralph","","False","Hartford Courant","Fresh","3/5","2005-08-05","",NA,6,1,0.0117473793087968
"m/10005178-saint_ralph","","False","E! Online","Fresh","","2005-08-05","Going beyond the never-say-die concept, McGowan paints an evocative picture of provincial life and mostly steers clear of cliche.","A-",8,1,0.877255681632622
"m/10005178-saint_ralph","","False","Hollywood.com","Fresh","3/4","2005-08-13","",NA,7.5,1,0.660878606051666
"m/10005178-saint_ralph","","False","Film Threat","Fresh","3.5/5","2005-12-06","",NA,7,1,0.444501530470709
"m/10005403-the_baxter","","False","E! Online","Rotten","","2005-08-26","This innocuous flick tries to evoke screwball rom-coms of the '40s, but despite a few chuckles, it misfires with predictable plotting and forced farce.","C",3,0,-1.28651507417694
"m/10005403-the_baxter","","False","Bullz-Eye.com","Fresh","3/5","2005-09-03","",NA,6,1,0.0117473793087968
"m/10005403-the_baxter","","True","Dallas Morning News","Fresh","","2005-09-24","","B",6,1,0.0117473793087968
"m/10005499-oliver_twist","","False","Hollywood.com","Rotten","2.5/4","2005-09-24","",NA,6.25,0,0.119935917099275
"m/10005499-oliver_twist","","False","Oregonian","Fresh","","2005-09-30","A movie that's beautifully acted, with an eye for drab period detail.","B-",5,1,-0.421006771853116
"m/10005499-oliver_twist","","False","E! Online","Fresh","","2005-09-30","Enjoyable but not remarkable filmmaking.","B+",7,1,0.444501530470709
"m/1000560-alamo","","False","Film4","Fresh","","2003-07-08","There's a lot of talky drama and it takes more than two hours before you get to the fighting, but it remains an American epic.",NA,NA,1,NA
"m/1000560-alamo","","False","TV Guide","Fresh","3/4","2012-01-31","All the pontificating about the joys of freedom becomes irritating, but James Edward Grant's dialogue occasionally crackles with enough humorous wit to hold an audience untill the gripping finale.",NA,7.5,1,0.660878606051666
"m/10005755-g","","True","Dallas Morning News","Rotten","","2005-10-29","","D",1,0,-2.15202337650077
"m/1000581-alfie","","False","Film4","Fresh","4/5","2004-03-16","Caine does a wonderful job of building and maintaining sympathy for his arrant, arrogant character, despite his obvious brutishness.",NA,8,1,0.877255681632622
"m/1000581-alfie","","True","TIME Magazine","Fresh","","2010-04-20","Caine plays the sodding little spiv with a raucous charm that makes Alfie seem more interesting than he actually is.",NA,NA,1,NA
"m/1000581-alfie","","False","TV Guide","Fresh","4.5/5","2010-04-20","In its time, the film was praised for its sexual frankness and persuasive rendering of Swinging London; both seem quaint by contemporary standards. Caine's Cockney Don Juan, however, is sui generis.",NA,9,1,1.31000983279453
"m/1000617-aliens","","False","TV Guide","Fresh","4/4","2008-06-17","Weaver is superb -- tough, smart, and the best fighter, male or female, in the movie.",NA,10,1,1.74276398395645
"m/1000626-all_about_eve","","False","Film4","Fresh","5/5","2007-11-30","One of Hollywood's finest backstage dramas. If nothing else Davis should have been rewarded for services to the tobacco industry.",NA,10,1,1.74276398395645
"m/10006370-stay_alive","","True","Time Out","Fresh","","2006-06-24","... while its narrative style -- elliptical, fragmented, even eccentric at times -- is ambitious and imaginative, it sometimes makes for a loss of clarity and momentum.",NA,NA,1,NA
"m/1000640-all_of_me","","False","Film4","Fresh","","2003-05-24","Martin is only occasionally grating with his Jerry Lewis-type mannerisms.",NA,NA,1,NA
"m/1000640-all_of_me","","False","TV Guide","Fresh","2.5/4","2009-02-02","Martin does some of his best acting in this film and steals the movie from Tomlin, whose character is, at best, a one-note creation.",NA,6.25,1,0.119935917099275
"m/10006434-dreamland","","False","Reel.com","Fresh","3/4","2006-12-30","",NA,7.5,1,0.660878606051666
"m/10006434-dreamland","","False","Film Threat","Fresh","4/5","2006-12-30","",NA,8,1,0.877255681632622
"m/10006485-black_gold","","False","Daily Mirror (UK)","Fresh","4/5","2007-06-08","Contrast that with shots of the grower's malnourished children relying on emergency foreign aid and it's enough to make your blood boil - never mind the coffee.",NA,8,1,0.877255681632622
"m/10006485-black_gold","","False","Total Film","Fresh","3/5","2007-06-08","Intimate interviews with starving farmers selling beans for 24p a kilo while we pay 2 a cup will make you appreciate the importance of fair-trade when ordering your next double-shot, skinny latte.",NA,6,1,0.0117473793087968
"m/10006856-requiem","","True","Globe and Mail","Fresh","3/4","2006-09-23","Sandra Hueller deservedly won an acting prize in Berlin (she could have taken home 'most conflicted character' as well).",NA,7.5,1,0.660878606051666
"m/10007142-the_4th_dimension","","False","Reel.com","Rotten","2/4","2007-03-10","",NA,5,0,-0.421006771853116
"m/10007538-silence","","True","Globe and Mail","Fresh","3/4","2006-09-23","Stylish, sexy and deeply emotionally resonant.",NA,7.5,1,0.660878606051666
"m/10007856-four_sheets_to_the_wind","","False","Film Threat","Fresh","3.5/5","2007-02-10","",NA,7,1,0.444501530470709
"m/10007886-the_tigers_tail","","False","National Post","Rotten","2/4","2006-09-26","",NA,5,0,-0.421006771853116
"m/10007886-the_tigers_tail","","False","Total Film","Rotten","2/5","2007-06-08","You get two Brendan Gleesons for the price of one in John Boorman's Dublin-set comedy, though neither is shown to his advantage in this uncomfortable mix of social satire and over-ripe melodrama.",NA,4,0,-0.853760923015028
"m/10007893-its_a_boy_girl_thing","","False","Empire Magazine","Fresh","3/5","2007-01-20","",NA,6,1,0.0117473793087968
"m/10007898-slipstream","","True","New York Daily News","Rotten","2.5/4","2007-11-03","",NA,6.25,0,0.119935917099275
"m/10007916_interview","","False","The Sun (UK)","Fresh","3/5","2007-11-02","Sienna does a good job of portraying Katya as a blonde, self-obsessed actress who is good at turning on the tears. Remarkable that.",NA,6,1,0.0117473793087968
"m/1000792-american_anthem","","False","People Magazine","Rotten","","2014-05-05","There hasn't been this much raw energy in a film since Rocky. On the other hand all that kinetic force is totally unfocused, leaving a pastiche of undirected elements that never forms a convincing whole.",NA,NA,0,NA
"m/1000792-american_anthem","","False","TV Guide","Rotten","1.5/4","2014-05-05","American Anthem employs some flashy and occasionally effective visuals, but its screenplay and characterization leave much to be desired.",NA,3.75,0,-0.961949460805507
"m/10007947-ten","","False","Hollywood.com","Rotten","2.5/4","2007-08-04","",NA,6.25,0,0.119935917099275
"m/10007947-ten","","False","Bullz-Eye.com","Rotten","2.5/5","2008-10-18","",NA,5,0,-0.421006771853116
"m/10008005-moliere","","True","Financial Times","Fresh","","2007-07-13","It is all jolly, harmless and amusing - at least until we get back to the ""real"" France and the ornate wallpaper starts shimmering again.",NA,NA,1,NA
"m/10008005-moliere","","False","The Sun (UK)","Fresh","4/5","2007-07-13","Just as you should never judge a book by its cover, never judge a film by its press release. Moliere was the most touching, funny film on show this week.",NA,8,1,0.877255681632622
"m/10008005-moliere","","False","Daily Mirror (UK)","Fresh","4/5","2007-07-13","It's a wonderfully witty film - très bien, in fact.",NA,8,1,0.877255681632622
"m/10008126-straightheads","","True","Time Out","Rotten","","2007-04-24","The film is a shallow study of the ~intoxicating allure of violence', with a few gratuitous tit shots thrown in for good measure.",NA,NA,0,NA
"m/10008126-straightheads","","False","Daily Mirror (UK)","Fresh","3/5","2007-04-27","Even if Straightheads looks as if it was made for about 4, it(TM)s been a long time since someone was brave enough to make a such a movie.",NA,6,1,0.0117473793087968
"m/10008234-alexandra","","True","St. Louis Post-Dispatch","Fresh","","2011-11-16","","B",6,1,0.0117473793087968
"m/10008502-christmas_carol","","False","The Sun (UK)","Rotten","2/5","2009-11-06","Full of Christmas cheer this is not.",NA,4,0,-0.853760923015028
"m/10008502-christmas_carol","","False","Daily Record (UK)","Fresh","4/5","2009-11-06","A visual extravaganza with dazzling special effects.",NA,8,1,0.877255681632622
"m/10008502-christmas_carol","","False","National Post","Fresh","3.5/4","2009-11-06","",NA,8.75,1,1.20182129500406
"m/10008587-beverly_hills_chihuahua","","False","The Australian","Rotten","2.5/5","2008-10-03","The predictable story may be enough to keep dog-obsessed children entertained, assuming they don't get distressed by the pups-in-peril aspects, but for adults it's only sporadically entertaining.",NA,5,0,-0.421006771853116
"m/10008587-beverly_hills_chihuahua","","False","The Sun (UK)","Rotten","2/5","2009-01-16","Only watch this if you adore seeing dogs wearing shades.",NA,4,0,-0.853760923015028
"m/10008601-fireflies_in_the_garden","","False","Irish Times","Rotten","2/5","2009-05-29","",NA,4,0,-0.853760923015028
"m/10008601-fireflies_in_the_garden","","False","The Sun (UK)","Fresh","3/5","2009-05-29","A thoughtful tale but it is not original enough to provide a long-lasting glow.",NA,6,1,0.0117473793087968
"m/10008611-my_best_friends_girl","","False","Empire Magazine","Rotten","1/5","2008-09-18","",NA,2,0,-1.71926922533885
"m/10008621-run_fat_boy_run","","False","Total Film","Fresh","3/5","2007-09-07","Pegg proves agreeable company in a lightweight Britcom whose biggest laughs emanate from its supporting cast.",NA,6,1,0.0117473793087968
"m/10008621-run_fat_boy_run","","False","Empire Magazine","Fresh","3/5","2007-09-07","Pegg pitched Shaun of the Dead as ""Richard Curtis shot through the head."" Run, Fat Boy, Run comes on more like ""Richard Curtis kicked in the nuts"" - a refreshingly honest Britcom that never really threatens the ribs but which is amiable company throughout",NA,6,1,0.0117473793087968
"m/10008655-whiteout","","False","Daily Mail (UK)","Rotten","","2009-09-11","Set in Antarctica, but unbelievably boring. I kept hoping for something unexpected to show up, like a killer penguin, but it never did.",NA,NA,0,NA
"m/10008655-whiteout","","False","The Sun (UK)","Rotten","2/5","2009-09-11","The first sight the audience gets of the Brit star is her stripping to her undies, pointing her perfectly-shaped rear to the camera then stepping into the shower. It's one of Whiteout's three highlights.",NA,4,0,-0.853760923015028
"m/10008667-black_irish","","True","Los Angeles Times","Rotten","3/5","2007-10-26","Black Irish boasts many memorable scenes and fine characterizations but ultimately plays more like a series of snapshots come to life than as an organically satisfying story.",NA,6,0,0.0117473793087968
"m/10008678-wild_child","","False","The Sun (UK)","Rotten","2/5","2008-08-15","WILD? More like mild, unless you think short skirts and ""horse face"" put-downs are outrageous.",NA,4,0,-0.853760923015028
"m/10008678-wild_child","","False","FILMINK (Australia)","Fresh","","2008-09-19","What begins as tedious teen comedy/drama about a Californian brat turns out to be a surprisingly agreeable popcorn flick.",NA,NA,1,NA
"m/10008678-wild_child","","False","The Australian","Fresh","2.5/4","2008-09-19","It's an unoriginal story but one with potential, and the actors who play Poppy's school chums are lively company.",NA,6.25,1,0.119935917099275
"m/10008698-king_corn","","True","Los Angeles Times","Fresh","3.5/5","2007-10-26","King Corn is entertaining enough, but it's also a moral, crucially skeptical road trip down the food chain.",NA,7,1,0.444501530470709
"m/10008699-terrors_advocate","","False","Empire Magazine","Fresh","4/5","2008-05-16","",NA,8,1,0.877255681632622
"m/10008705-mr_untouchable","","True","New York Magazine/Vulture","Fresh","","2007-10-26","Sometimes persuasive and sometimes sadly comical, but always fascinating.",NA,NA,1,NA
"m/10008744-canvas","","True","Los Angeles Times","Rotten","2/5","2007-10-19","Canvas just doesn't sketch a sufficiently vivid portrait.",NA,4,0,-0.853760923015028
"m/10008748-saawariya","","True","Globe and Mail","Rotten","2/4","2008-06-04","",NA,5,0,-0.421006771853116
"m/10008754-flawless","","False","Bullz-Eye.com","Fresh","3/5","2008-10-18","",NA,6,1,0.0117473793087968
"m/10008754-flawless","","False","Total Film","Rotten","2/5","2008-11-28","Diamonds aren't forever in this sluggish heist caper from Michael Radford that partners Michael Caine and Demi Moore for the first time since 1984's Blame It On Rio.",NA,4,0,-0.853760923015028
"m/10008754-flawless","","False","The Sun (UK)","Rotten","2/5","2008-11-28","If ever a film title begged to be abused, this is it.",NA,4,0,-0.853760923015028
"m/10008785-appaloosa","","False","National Post","Rotten","2.5/4","2008-09-09","",NA,6.25,0,0.119935917099275
"m/10008785-appaloosa","","False","The Sun (UK)","Fresh","4/5","2008-09-26","Too much romance makes the movie sag near the end and the plot could have gone in a more interesting direction. But if you are wild about Westerns, saddle up for Appaloosa.",NA,8,1,0.877255681632622
"m/10008785-appaloosa","","False","Bullz-Eye.com","Rotten","2.5/5","2008-10-18","",NA,5,0,-0.421006771853116
"m/10008786-good","","False","The Sun (UK)","Fresh","3/5","2009-04-17","It is a fine piece of acting from Mortensen, who portrays his character's weakness superbly. But Good sometimes lacks pace and direction. On balance this is an intelligent and sensitive approach to a very dark era of history.",NA,6,1,0.0117473793087968
"m/10008786-good","","True","London Evening Standard","Rotten","2/5","2009-04-17","The original play, once dubbed one of the 100 best of the century, is fleshed out with skill by Amorim but somehow his film never comes fully to life. Even its melodramatic ending falls flat.",NA,4,0,-0.853760923015028
"m/10008786-good","","False","Daily Record (UK)","Rotten","2/5","2009-04-21","Good isn't great. The film has a quality cast who turn in fine performances in a movie that aims to be profound but isn't.",NA,4,0,-0.853760923015028
"m/10008820-visitor","","False","Time Out Sydney","Rotten","3/6","2009-02-05","Its mushy humanism is...insidious.",NA,5,0,-0.421006771853116
"m/10008849-married_life","","False","Empire Magazine","Fresh","3/5","2008-06-27","It swings from Far From Heaven-alike lush melodrama to Double Indemnity-like noir to something approaching black comedy, and the transitions never quite work. Accomplished then, but no classic.",NA,6,1,0.0117473793087968
"m/10008849-married_life","","False","Metro (UK)","Fresh","3/5","2008-08-01","The acting is as classy and well-realised as the lush 1940s period detail, yet this entertainingly entangled, ersatz noir is frustrating because it never fully gels.",NA,6,1,0.0117473793087968
"m/10008849-married_life","","False","The Sun (UK)","Fresh","3/5","2008-08-01","The tangled web which slowly causes the film's relationships to disintegrate is brilliantly woven. However, you can't help wishing the climax packs a bit more of a dramatic punch.",NA,6,1,0.0117473793087968
"m/10008849-married_life","","False","Daily Mirror (UK)","Rotten","","2008-08-01","A noirish 1940s-set character study, it's an initially intriguing tale of infidelity and betrayal that smoulders, but never quite catches fire.",NA,NA,0,NA
"m/10008849-married_life","","False","Bullz-Eye.com","Rotten","1.5/5","2008-10-18","",NA,3,0,-1.28651507417694
"m/10008856-badland","","False","Slant Magazine","Rotten","1.5/4","2007-12-01","",NA,3.75,0,-0.961949460805507
"m/10008954-untraceable","","False","thelondonpaper","Rotten","2/5","2008-02-29","Some viewers might find the Hostel-style splatter hard to stomach while, for a smart cop, Lane sure does some dumb things.",NA,4,0,-0.853760923015028
"m/10008954-untraceable","","False","Bullz-Eye.com","Rotten","1.5/5","2008-10-18","",NA,3,0,-1.28651507417694
"m/10008954-untraceable","","False","Reel.com","Rotten","1.5/4","2008-10-18","",NA,3.75,0,-0.961949460805507
"m/10008991-informers","","False","Heat Magazine","Rotten","2/5","2009-07-17","For diehard Ellis completists only.",NA,4,0,-0.853760923015028
"m/10008991-informers","","False","The Sun (UK)","Rotten","1/5","2009-07-17","A star-studded mess.",NA,2,0,-1.71926922533885
"m/10008991-informers","","False","Daily Record (UK)","Rotten","2/5","2009-07-17","The Informers proves once again that Ellis's stories are difficult to realise for the big screen and perhaps best left for the printed page and the imagination.",NA,4,0,-0.853760923015028
"m/10009001-the_freshman","","True","Time Out","Fresh","","2006-01-26","The casting, needless to say, is perfect, and Bergman keeps the various escalating intrigues clipping along at a brisk pace.",NA,NA,1,NA
"m/10009001-the_freshman","","False","TV Guide","Fresh","3/4","2007-10-13","Broderick is his usual charming self, and there are occasional moments of inspired whimsy or absurdity.",NA,7.5,1,0.660878606051666
"m/10009001-the_freshman","","False","Film4","Fresh","","2010-09-08","It's a nice premise, film informing life, and Bergman's film succeeds thanks to its sprightly pace, modest but fully realised ambition and the ever affable Broderick.",NA,NA,1,NA
"m/10009055-rocker","","False","The Sun (UK)","Fresh","4/5","2008-10-17","Just the feelgood movie that everyone needs at the moment.",NA,8,1,0.877255681632622
"m/10009055-rocker","","False","Bullz-Eye.com","Fresh","3/5","2008-10-18","",NA,6,1,0.0117473793087968
"m/10009055-rocker","","False","National Post","Rotten","2/4","2008-10-18","",NA,5,0,-0.421006771853116
"m/10009083-land_of_the_lost","","False","Irish Times","Rotten","2/5","2009-06-05","",NA,4,0,-0.853760923015028
"m/10009083-land_of_the_lost","","False","National Post","Rotten","1/4","2009-06-05","",NA,2.5,0,-1.5028921497579
"m/10009083-land_of_the_lost","","False","The Sun (UK)","Fresh","3/5","2009-07-31","Find your juvenile inner self and you might just enjoy Land Of The Lost.",NA,6,1,0.0117473793087968
"m/10009083-land_of_the_lost","","False","Daily Record (UK)","Rotten","1/5","2009-07-31","A jumbled, incoherent mess of ad-libbed indulgences.",NA,2,0,-1.71926922533885
"m/10009083-land_of_the_lost","","False","Film Threat","Rotten","1.5/5","2013-01-22","",NA,3,0,-1.28651507417694
"m/1000915-and_god_created_woman","","False","Filmcritic.com","Fresh","3/5","2003-05-08","",NA,6,1,0.0117473793087968
"m/10009151-box","","False","Heat Magazine","Rotten","2/5","2009-12-08","A potentially clever idea becomes a pretentious trip into the director's own obsessions.",NA,4,0,-0.853760923015028
"m/10009169-man_in_the_chair","","False","Empire Magazine","Rotten","2/5","2007-11-24","As in Cocoon(1985), the emphasis is on sentiment, feel-good and reclaiming the elderly from the scrapheap. But the performances are nowhere near as subtle.",NA,4,0,-0.853760923015028
"m/10009169-man_in_the_chair","","True","Los Angeles Times","Fresh","3/5","2007-12-14","Though they can't transcend writer-director Michael Schroeder's pointed contrivances, the actors tap into something achingly true in this valentine to Hollywood's below-the-line crafts people and society's castoffs.",NA,6,1,0.0117473793087968
"m/10009169-man_in_the_chair","","True","Los Angeles Times","Fresh","3.5/5","2007-12-14","[An] elegant documentary.",NA,7,1,0.444501530470709
"m/10009172-undoing","","False","Film Threat","Rotten","1.5/5","2008-02-12","",NA,3,0,-1.28651507417694
"m/10009176-black_water","","False","The Sun (UK)","Fresh","3/5","2008-02-22","Australian film-makers Andrew Traucki and David Nerlich have done a great job in making the world's most deadly reptile as scary as a shark.",NA,6,1,0.0117473793087968
"m/10009176-black_water","","True","Little White Lies","Rotten","2/5","2008-02-22","A wasted opportunity.",NA,4,0,-0.853760923015028
"m/10009192-21","","True","Time Out","Rotten","2/6","2008-04-11","The whizzo-conceit and slick visual bling do give it an undeniably diverting buzz, yet the movie's cautionary formula shows its hand way before the clunky final reel.",NA,3.33333333333333,0,-1.1422636904563
"m/10009192-21","","False","IGN Movies","Rotten","2/5","2008-06-12","21 will deliver what the average Joe is looking for in spades. But just be ready for a schizophrenic cinematic experience that may leave you feeling like you just saw three separate movies.",NA,4,0,-0.853760923015028
"m/10009192-21","","False","Bullz-Eye.com","Rotten","2.5/5","2008-10-18","",NA,5,0,-0.421006771853116
